ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded
cb17f99c96dea1465070c51cca44d7dc,10,Chicago Cubs,2.45,betmgm,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:34:21,0.4081632653061224,betus,Philadelphia Phillies,1.65,0.6060606060606061,1.0142238713667284,100,165.0,67.3469387755102,165.0,167.34693877551018,330.0,-2.346938775510182,67.0,164.15,167.0,329.15,-2.8499999999999943
d535badd624de977e7eaf6020c88f363,3,St. Louis Cardinals,5.0,pointsbetus,St. Louis Cardinals,Los Angeles Dodgers,2023-05-19 20:15:00,MLB,2023-05-19 22:33:33,0.2,betmgm,Los Angeles Dodgers,1.22,0.819672131147541,1.019672131147541,100,122.0,24.4,122.0,124.4,244.0,-2.4000000000000057,24.0,120.0,124.0,242.0,-4.0
c3b0350752fc7a7e6aae082009603aff,2,Oakland Athletics,19.0,fanduel,Houston Astros,Oakland Athletics,2023-05-19 20:10:00,MLB,2023-05-19 22:34:11,0.05263157894736842,draftkings,Houston Astros,1.03,0.970873786407767,1.0235053653551354,100,103.0,5.421052631578948,103.00000000000001,105.42105263157895,206.0,-2.421052631578945,5.0,95.0,105.0,198.0,-10.0
745d07987643f66b1e2bd332a6938e3d,15,Oakland Athletics,3.6,fanduel,Houston Astros,Oakland Athletics,2023-05-20 16:10:00,MLB,2023-05-19 22:34:11,0.2777777777777778,wynnbet,Houston Astros,1.35,0.7407407407407407,1.0185185185185186,100,135.0,37.5,135.0,137.5,270.0,-2.5,38.0,136.8,138.0,271.8,-3.0
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,7,Chicago White Sox,1.6,fanduel,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-19 22:34:11,0.625,draftkings,Kansas City Royals,2.6,0.3846153846153846,1.0096153846153846,100,260.0,162.5,260.0,262.5,520.0,-2.5,162.0,259.2,262.0,519.2,-2.8000000000000114
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,7,Kansas City Royals,2.55,betus,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-19 22:33:43,0.3921568627450981,fanduel,Chicago White Sox,1.6,0.625,1.017156862745098,100,160.0,62.74509803921569,160.0,162.7450980392157,320.0,-2.7450980392156907,63.0,160.64999999999998,163.0,320.65,-3.0
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,7,Kansas City Royals,2.55,betrivers,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-19 22:34:15,0.3921568627450981,fanduel,Chicago White Sox,1.6,0.625,1.017156862745098,100,160.0,62.74509803921569,160.0,162.7450980392157,320.0,-2.7450980392156907,63.0,160.64999999999998,163.0,320.65,-3.0
39af70ee8cdc4ac5884a0071f63e812a,6,San Francisco Giants,1.76,fanduel,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-19 22:34:11,0.5681818181818182,pointsbetus,Miami Marlins,2.25,0.4444444444444444,1.0126262626262625,100,225.0,127.8409090909091,225.0,227.8409090909091,450.0,-2.8409090909090935,128.0,225.28,228.0,450.28,-3.0
a5929487d624fde848d6f5681a799965,9,Arizona Diamondbacks,2.2,fanduel,Pittsburgh Pirates,Arizona Diamondbacks,2023-05-20 16:05:00,MLB,2023-05-19 22:34:11,0.45454545454545453,betrivers,Pittsburgh Pirates,1.78,0.5617977528089888,1.0163432073544434,100,178.0,80.9090909090909,178.0,180.9090909090909,356.0,-2.9090909090909065,81.0,178.20000000000002,181.0,356.20000000000005,-3.0
a5929487d624fde848d6f5681a799965,9,Arizona Diamondbacks,2.2,wynnbet,Pittsburgh Pirates,Arizona Diamondbacks,2023-05-20 16:05:00,MLB,2023-05-19 22:32:31,0.45454545454545453,betus,Pittsburgh Pirates,1.78,0.5617977528089888,1.0163432073544434,100,178.0,80.9090909090909,178.0,180.9090909090909,356.0,-2.9090909090909065,81.0,178.20000000000002,181.0,356.20000000000005,-3.0
a5929487d624fde848d6f5681a799965,9,Arizona Diamondbacks,2.2,fanduel,Pittsburgh Pirates,Arizona Diamondbacks,2023-05-20 16:05:00,MLB,2023-05-19 22:34:11,0.45454545454545453,betus,Pittsburgh Pirates,1.78,0.5617977528089888,1.0163432073544434,100,178.0,80.9090909090909,178.0,180.9090909090909,356.0,-2.9090909090909065,81.0,178.20000000000002,181.0,356.20000000000005,-3.0
a5929487d624fde848d6f5681a799965,9,Arizona Diamondbacks,2.2,wynnbet,Pittsburgh Pirates,Arizona Diamondbacks,2023-05-20 16:05:00,MLB,2023-05-19 22:32:31,0.45454545454545453,betrivers,Pittsburgh Pirates,1.78,0.5617977528089888,1.0163432073544434,100,178.0,80.9090909090909,178.0,180.9090909090909,356.0,-2.9090909090909065,81.0,178.20000000000002,181.0,356.20000000000005,-3.0
3e981d0a4531f729436bb51888902fa2,1,Colorado Rockies,34.0,betmgm,Texas Rangers,Colorado Rockies,2023-05-19 20:05:00,MLB,2023-05-19 22:32:38,0.029411764705882353,pointsbetus,Texas Rangers,1.0,1.0,1.0294117647058822,100,100.0,2.9411764705882355,100.0,102.94117647058823,200.0,-2.941176470588232,3.0,102.0,103.0,202.0,-3.0
1842b608a5e738700b9ec806f5890abc,16,Tampa Bay Rays,1.53,pointsbetus,Tampa Bay Rays,Milwaukee Brewers,2023-05-20 16:10:00,MLB,2023-05-19 22:33:33,0.6535947712418301,draftkings,Milwaukee Brewers,2.8,0.35714285714285715,1.0107376283846872,100,280.0,183.00653594771242,280.0,283.00653594771245,560.0,-3.0065359477124503,183.0,279.99,283.0,559.99,-3.009999999999991
1842b608a5e738700b9ec806f5890abc,16,Tampa Bay Rays,1.53,pointsbetus,Tampa Bay Rays,Milwaukee Brewers,2023-05-20 16:10:00,MLB,2023-05-19 22:33:33,0.6535947712418301,betmgm,Milwaukee Brewers,2.8,0.35714285714285715,1.0107376283846872,100,280.0,183.00653594771242,280.0,283.00653594771245,560.0,-3.0065359477124503,183.0,279.99,283.0,559.99,-3.009999999999991
d140ec16fbee1387e9a4652cdaeb1ff4,11,Colorado Rockies,2.7,wynnbet,Texas Rangers,Colorado Rockies,2023-05-20 16:05:00,MLB,2023-05-19 22:32:31,0.37037037037037035,betus,Texas Rangers,1.54,0.6493506493506493,1.0197210197210196,100,154.0,57.03703703703703,154.0,157.03703703703704,308.0,-3.037037037037038,57.0,153.9,157.0,307.9,-3.0999999999999943
cb17f99c96dea1465070c51cca44d7dc,10,Philadelphia Phillies,1.65,betus,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:33:43,0.6060606060606061,fanduel,Chicago Cubs,2.46,0.4065040650406504,1.0125646711012566,100,246.0,149.0909090909091,246.0,249.0909090909091,492.0,-3.0909090909090935,149.0,245.85,249.0,491.85,-3.1500000000000057
61f238a6c24d918039fa43936258e482,19,Boston Red Sox,2.15,wynnbet,San Diego Padres,Boston Red Sox,2023-05-20 22:10:00,MLB,2023-05-19 22:32:31,0.46511627906976744,betus,San Diego Padres,1.81,0.5524861878453039,1.0176024669150714,100,181.0,84.18604651162791,181.0,184.18604651162792,362.0,-3.1860465116279215,84.0,180.6,184.0,361.6,-3.4000000000000057
d535badd624de977e7eaf6020c88f363,3,St. Louis Cardinals,5.0,pointsbetus,St. Louis Cardinals,Los Angeles Dodgers,2023-05-19 20:15:00,MLB,2023-05-19 22:33:33,0.2,fanduel,Los Angeles Dodgers,1.21,0.8264462809917356,1.0264462809917356,100,121.0,24.2,121.0,124.2,242.0,-3.200000000000003,24.0,120.0,124.0,241.0,-4.0
745d07987643f66b1e2bd332a6938e3d,15,Oakland Athletics,3.6,fanduel,Houston Astros,Oakland Athletics,2023-05-20 16:10:00,MLB,2023-05-19 22:34:11,0.2777777777777778,betrivers,Houston Astros,1.34,0.7462686567164178,1.0240464344941955,100,134.0,37.22222222222222,134.0,137.22222222222223,268.0,-3.2222222222222285,37.0,133.20000000000002,137.0,267.20000000000005,-3.799999999999983
