ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,MaximumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded,MaximumNetPayoutRounded
8e7bc3a287071b73f6bb6331f42ee7db,7,Washington Nationals,1.91,wynnbet,Washington Nationals,Detroit Tigers,2023-05-20 16:05:00,MLB,2023-05-20 00:28:28,0.5235602094240838,draftkings,Detroit Tigers,1.95,0.5128205128205129,1.0363807222445967,100,195.0,102.09424083769633,195.0,202.09424083769633,390.0,-7.094240837696333,-7.094240837696333,102.0,194.82,202.0,389.82,-7.180000000000007,-7.180000000000007
1c0da596ef99f4439f6502a0cd295e12,12,St. Louis Cardinals,1.91,betmgm,St. Louis Cardinals,Los Angeles Dodgers,2023-05-20 19:15:00,MLB,2023-05-20 00:31:54,0.5235602094240838,wynnbet,Los Angeles Dodgers,1.95,0.5128205128205129,1.0363807222445967,100,195.0,102.09424083769633,195.0,202.09424083769633,390.0,-7.094240837696333,-7.094240837696333,102.0,194.82,202.0,389.82,-7.180000000000007,-7.180000000000007
1c0da596ef99f4439f6502a0cd295e12,12,Los Angeles Dodgers,1.91,betmgm,St. Louis Cardinals,Los Angeles Dodgers,2023-05-20 19:15:00,MLB,2023-05-20 00:31:54,0.5235602094240838,wynnbet,St. Louis Cardinals,1.95,0.5128205128205129,1.0363807222445967,100,195.0,102.09424083769633,195.0,202.09424083769633,390.0,-7.094240837696333,-7.094240837696333,102.0,194.82,202.0,389.82,-7.180000000000007,-7.180000000000007
61f238a6c24d918039fa43936258e482,14,Boston Red Sox,2.13,betus,San Diego Padres,Boston Red Sox,2023-05-20 22:10:00,MLB,2023-05-20 00:31:03,0.4694835680751174,fanduel,San Diego Padres,1.75,0.5714285714285714,1.0409121395036887,100,175.0,82.15962441314555,175.0,182.15962441314554,350.0,-7.159624413145536,-7.159624413145536,82.0,174.66,182.0,349.65999999999997,-7.340000000000003,-7.340000000000003
d140ec16fbee1387e9a4652cdaeb1ff4,6,Texas Rangers,1.53,betmgm,Texas Rangers,Colorado Rockies,2023-05-20 16:05:00,MLB,2023-05-20 00:31:54,0.6535947712418301,fanduel,Colorado Rockies,2.68,0.3731343283582089,1.0267290996000389,100,268.0,175.16339869281046,268.0,275.16339869281046,536.0,-7.1633986928104605,-7.1633986928104605,175.0,267.75,275.0,535.75,-7.25,-7.25
d140ec16fbee1387e9a4652cdaeb1ff4,6,Texas Rangers,1.53,pointsbetus,Texas Rangers,Colorado Rockies,2023-05-20 16:05:00,MLB,2023-05-20 00:31:07,0.6535947712418301,fanduel,Colorado Rockies,2.68,0.3731343283582089,1.0267290996000389,100,268.0,175.16339869281046,268.0,275.16339869281046,536.0,-7.1633986928104605,-7.1633986928104605,175.0,267.75,275.0,535.75,-7.25,-7.25
d140ec16fbee1387e9a4652cdaeb1ff4,6,Texas Rangers,1.53,betrivers,Texas Rangers,Colorado Rockies,2023-05-20 16:05:00,MLB,2023-05-20 00:31:33,0.6535947712418301,fanduel,Colorado Rockies,2.68,0.3731343283582089,1.0267290996000389,100,268.0,175.16339869281046,268.0,275.16339869281046,536.0,-7.1633986928104605,-7.1633986928104605,175.0,267.75,275.0,535.75,-7.25,-7.25
d140ec16fbee1387e9a4652cdaeb1ff4,6,Texas Rangers,1.53,wynnbet,Texas Rangers,Colorado Rockies,2023-05-20 16:05:00,MLB,2023-05-20 00:28:28,0.6535947712418301,fanduel,Colorado Rockies,2.68,0.3731343283582089,1.0267290996000389,100,268.0,175.16339869281046,268.0,275.16339869281046,536.0,-7.1633986928104605,-7.1633986928104605,175.0,267.75,275.0,535.75,-7.25,-7.25
d140ec16fbee1387e9a4652cdaeb1ff4,6,Texas Rangers,1.53,draftkings,Texas Rangers,Colorado Rockies,2023-05-20 16:05:00,MLB,2023-05-20 00:31:41,0.6535947712418301,fanduel,Colorado Rockies,2.68,0.3731343283582089,1.0267290996000389,100,268.0,175.16339869281046,268.0,275.16339869281046,536.0,-7.1633986928104605,-7.1633986928104605,175.0,267.75,275.0,535.75,-7.25,-7.25
eda61dfe9a4b9503cc608dd1b0646439,8,San Francisco Giants,1.61,wynnbet,San Francisco Giants,Miami Marlins,2023-05-20 16:05:00,MLB,2023-05-20 00:28:28,0.6211180124223602,betmgm,Miami Marlins,2.45,0.4081632653061224,1.0292812777284825,100,245.00000000000003,152.17391304347828,245.00000000000006,252.17391304347828,490.0000000000001,-7.173913043478251,-7.173913043478251,152.0,244.72000000000003,252.0,489.72,-7.279999999999973,-7.279999999999973
